add_time,createTime,ecBizStoreId,endTime,id,orderNo,pageNum,pageSize,rightsStatusList,rightsType,updateEndTime,updateStartTime
2020-04-28,1587975603000,,,3674227089,51919619010089,,,,2,,
2020-04-28,1587975574000,,,3674247289,51897752010089,,,,2,,
2020-04-28,1587975356000,,,3674246789,51961124010489,,,,2,,
2020-04-28,1587968396000,,,3674117189,51791648019789,,,,2,,
2020-04-28,1587896329000,,,3672676389,51523317019989,,,,2,,
2020-04-28,1587894936000,,,3672617889,51762805010789,,,,2,,
2020-04-28,1587877159000,,,3672413389,51763639019789,,,,2,,
2020-04-28,1587875916000,,,3672349989,51762551010889,,,,2,,
2020-04-28,1587827343000,,,3672041789,51763571013389,,,,2,,
2020-04-28,1587826726000,,,3672008689,51763932015889,,,,2,,
2020-04-28,1587821383000,,,3671953589,51776267017689,,,,2,,
2020-04-28,1587821078000,,,3671972489,51762361013589,,,,2,,
2020-04-28,1587820207000,,,3671935289,51762127019289,,,,2,,
2020-04-28,1587819602000,,,3671916889,51767505016189,,,,2,,
2020-04-28,1587819185000,,,3671922989,51763407010589,,,,2,,
2020-04-28,1587818846000,,,3671922089,51766473019389,,,,2,,
2020-04-28,1587818629000,,,3671905189,51762898015589,,,,2,,
2020-04-28,1587816114000,,,3671873189,51771223019389,,,,2,,
2020-04-28,1587815677000,,,3671847889,51763833012189,,,,2,,
2020-04-28,1587815567000,,,3671855489,51762296014589,,,,2,,
2020-04-28,1587814534000,,,3671818489,51762546017689,,,,2,,
2020-04-28,1587814438000,,,3671826289,51763034010289,,,,2,,
2020-04-28,1587814339000,,,3671818189,51763034010289,,,,2,,
2020-04-28,1587803229000,,,3670685689,51522177010189,,,,2,,
2020-04-28,1587795405000,,,3670565289,51516271013789,,,,2,,
2020-04-28,1587784362000,,,3670336689,51522813010889,,,,2,,
2020-04-28,1587688701000,,,3669171489,51525445018089,,,,4,,
2020-04-28,1587651961000,,,3669001689,51545520012389,,,,1,,
2020-04-28,1587650913000,,,3668949489,51523720019189,,,,2,,
2020-04-28,1587650730000,,,3668968189,51522477019389,,,,2,,
2020-04-28,1587643267000,,,3668859389,51523685019689,,,,2,,
2020-04-28,1587642798000,,,3668881089,51520225019489,,,,2,,
2020-04-28,1587608538000,,,3668370789,50773730019389,,,,2,,
2020-04-28,1587460142000,,,3666990389,51095990011889,,,,2,,
2020-04-28,1587392180000,,,3666357589,49956443011289,,,,2,,
2020-04-28,1587377161000,,,3666158289,49967279015389,,,,2,,
2020-04-28,1587351952000,,,3665773289,49966460017289,,,,2,,
2020-04-28,1587341968000,,,3665554389,49970500012089,,,,2,,
2020-04-28,1587313496000,,,3665488589,51118274016089,,,,2,,
2020-04-28,1587302871000,,,3665370489,51096331015789,,,,2,,
2020-04-28,1587279720000,,,3664956689,49957917019389,,,,2,,
2020-04-28,1587262812000,,,3664706989,49959479010889,,,,2,,
2020-04-28,1587206411000,,,3664366989,50762741019989,,,,2,,
2020-04-28,1587185356000,,,3664019589,49971598017289,,,,2,,
2020-04-28,1587178228000,,,3663909389,50760011017089,,,,2,,
2020-04-28,1587129244000,,,3663640989,50763113018089,,,,2,,
2020-04-28,1587129158000,,,3663559789,50763207014689,,,,2,,
2020-04-28,1587126253000,,,3663551889,49953253017189,,,,2,,
2020-04-28,1587122066000,,,3663448989,50753922016989,,,,2,,
2020-04-28,1587111038000,,,3663273389,49969047012189,,,,2,,
2020-04-28,1587102676000,,,3663123389,49955104012289,,,,2,,
2020-04-28,1587099714000,,,3663066089,49954302011989,,,,2,,
2020-04-28,1587099124000,,,3663064489,49956784014589,,,,2,,
2020-04-28,1587096890000,,,3663034389,50685240018989,,,,2,,
2020-04-28,1587096558000,,,3663022989,50621030014089,,,,2,,
2020-04-28,1587095982000,,,3662995189,50765554012989,,,,2,,
2020-04-28,1587095835000,,,3663014789,50764531015189,,,,2,,
2020-04-28,1587095800000,,,3663030889,50742930015189,,,,2,,
2020-04-28,1587048143000,,,3662631489,50604217011189,,,,2,,
2020-04-28,1587042660000,,,3662519789,50766850011289,,,,2,,
2020-04-28,1587040375000,,,3662523189,50762653017789,,,,2,,
2020-04-28,1587037814000,,,3662502289,50762005011189,,,,2,,
2020-04-28,1586933587000,,,3661163689,49952923016489,,,,2,,
2020-04-28,1586932537000,,,3661150789,49953198012289,,,,2,,
2020-04-28,1586931808000,,,3661098989,49952923016489,,,,2,,
2020-04-28,1586921864000,,,3660962289,49955557012089,,,,1,,
2020-04-28,1586919893000,,,3660915289,49954947014089,,,,2,,
2020-04-28,1586919867000,,,3660926389,49967072014089,,,,2,,
2020-04-28,1586919827000,,,3660906289,49967876014089,,,,2,,
2020-04-28,1586848886000,,,3660275489,49952793014589,,,,2,,
2020-04-28,1586692565000,,,3658445089,49952979016289,,,,2,,
2020-04-28,1586678283000,,,3658209589,49953465018289,,,,4,,
2020-04-28,1586656152000,,,3657932589,50256485015889,,,,4,,
2020-04-28,1586617706000,,,3657757789,49431095016889,,,,2,,
2020-04-28,1586603893000,,,3657575589,50217463014989,,,,2,,
2020-04-28,1586603862000,,,3657592589,50217463014989,,,,2,,
2020-04-28,1586595894000,,,3657448689,49966553013089,,,,2,,
2020-04-28,1586580267000,,,3657143889,49953465018289,,,,2,,
2020-04-28,1586570991000,,,3656887389,49958437013789,,,,2,,
